,trace_number,date_time,experimenter,protocol,cell_type,stim_type,V_baseline,LED_wavelenght,LED_time_ms,LED_power_mWmm,response_type_LED,spike_per_LED_stim,spike_freq_LED,subthresh_per_LED_stim,LED_voltage_resp_max_mV,total_V_deflection_from_baseline_mV,time_to_peak_v_deflection_ms,voltage_points_plot,LED_points_plot,I_inj_duration_ms,I_inj_max_value_pA,I_inj_response_type,spike_per_I_inj,I_pulse_spike_freq,I_inj_voltage_max_resp_mV,I_inj_V_deflection_total_from_base_mV,V_resp_max_delay_1st_resp_ms,V_data_points,max_V_deflection_level_mV
0,2019_03_19_0055,2019-03-19 16:40:14.216,Rig 1,C:\Users\a.administrateur\Desktop\Adna prot\opsin test\excitatory opsin\Low_Light\5 CC_488_Pos5_1.2 to 3.4V_5ms,GtACR1,LED_pulse,-63.380706999999994,520.0,5.0,2.91,Spike,3.0,425.531914893617,0.0,,110.83554077148438,4.1,[-63.2935 -63.5681 -62.8052 ... -62.8052 -63.9038 -63.5681],[-0.0012 -0.0015 -0.0012 ... -0.0012 -0.0009 -0.0009],,,,,,,,,,47.454833984375
1,2019_03_19_0055,2019-03-19 16:40:14.216,Rig 1,C:\Users\a.administrateur\Desktop\Adna prot\opsin test\excitatory opsin\Low_Light\5 CC_488_Pos5_1.2 to 3.4V_5ms,GtACR1,LED_pulse,-63.380706999999994,520.0,5.0,,Spike,2.0,444.44444444444434,0.0,,113.00228881835938,4.45,[-63.5071 -63.6292 -63.2019 ... -63.5681 -63.5071 -63.9343],[-0.0012 -0.0006 -0.0009 ... -0.0009 -0.0012 -0.0015],,,,,,,,,,49.62158203125
2,2019_03_19_0055,2019-03-19 16:40:14.216,Rig 1,C:\Users\a.administrateur\Desktop\Adna prot\opsin test\excitatory opsin\Low_Light\5 CC_488_Pos5_1.2 to 3.4V_5ms,GtACR1,LED_pulse,-63.380706999999994,520.0,5.0,16.28,Spike,2.0,476.19047619047615,0.0,,111.07968139648438,4.4,[-63.446  -63.6902 -62.8357 ... -63.2324 -63.2324 -63.324 ],[-0.0012 -0.0012 -0.0015 ... -0.0012 -0.0015 -0.0012],,,,,,,,,,47.698974609375
3,2019_03_19_0055,2019-03-19 16:40:14.216,Rig 1,C:\Users\a.administrateur\Desktop\Adna prot\opsin test\excitatory opsin\Low_Light\5 CC_488_Pos5_1.2 to 3.4V_5ms,GtACR1,LED_pulse,-63.380706999999994,520.0,5.0,36.05,Spike,2.0,487.8048780487806,0.0,,111.50692749023438,4.55,[-63.1104 -63.6902 -63.7817 ... -63.7207 -63.2935 -63.6902],[-0.0009 -0.0012 -0.0012 ... -0.0012 -0.0009 -0.0012],,,,,,,,,,48.126220703125
0,2019_03_19_0055,2019-03-19 16:40:14.216,Rig 1,C:\Users\a.administrateur\Desktop\Adna prot\opsin test\excitatory opsin\Low_Light\5 CC_488_Pos5_1.2 to 3.4V_5ms,GtACR1,I_pulse,-63.380706999999994,,,,,,,,,,,,,5.0,182.13421630859372,Spike,2.0,444.44444444444434,41.1376953125,104.51840209960938,1.75,[-63.446  -63.4155 -63.8123 ... -62.1643 -62.1948 -62.0117],
0,18d130007_5,2018-12-12 15:26:38.133000,Rig 2,C:\Users\charlotte.deleuze\Documents\Charlotte\pclamp PARAMS_charlotte\FISH_params\excitatory_opsins\Chrimson\CC_LED_step_NO_FILTER,Chrimson,LED_pulse,-60.01810836791992,630,5.0,7.44,sub_thresh_event,0.0,,1.0,,17.354530334472656,7.05,[-59.9579 -59.967  -59.964  ... -59.9426 -59.9243 -59.9243],[-0.0092 -0.0104 -0.0098 ... -0.0101 -0.0095 -0.0104],,,,,,,,,,-42.663578033447266
1,18d130007_5,2018-12-12 15:26:38.133000,Rig 2,C:\Users\charlotte.deleuze\Documents\Charlotte\pclamp PARAMS_charlotte\FISH_params\excitatory_opsins\Chrimson\CC_LED_step_NO_FILTER,Chrimson,LED_pulse,-60.01810836791992,630,5.0,12.78,sub_thresh_event,0.0,,1.0,,21.276039123535156,7.25,[-60.1318 -60.141  -60.141  ... -59.8785 -59.8877 -59.8969],[-0.0101 -0.0101 -0.0104 ... -0.0098 -0.0104 -0.0101],,,,,,,,,,-38.742069244384766
2,18d130007_5,2018-12-12 15:26:38.133000,Rig 2,C:\Users\charlotte.deleuze\Documents\Charlotte\pclamp PARAMS_charlotte\FISH_params\excitatory_opsins\Chrimson\CC_LED_step_NO_FILTER,Chrimson,LED_pulse,-60.01810836791992,630,5.0,18.56,sub_thresh_event,0.0,,1.0,,22.139686584472656,6.6,[-60.0372 -60.0403 -60.0494 ... -59.8572 -59.8389 -59.8541],[-0.0098 -0.0101 -0.0098 ... -0.0095 -0.0104 -0.0098],,,,,,,,,,-37.878421783447266
3,18d130007_5,2018-12-12 15:26:38.133000,Rig 2,C:\Users\charlotte.deleuze\Documents\Charlotte\pclamp PARAMS_charlotte\FISH_params\excitatory_opsins\Chrimson\CC_LED_step_NO_FILTER,Chrimson,LED_pulse,-60.01810836791992,630,5.0,21.89,sub_thresh_event,0.0,,1.0,,28.64603614807129,3.75,[-59.967  -59.967  -59.9793 ... -59.8633 -59.8511 -59.8633],[-0.0098 -0.0095 -0.0101 ... -0.0101 -0.0098 -0.0104],,,,,,,,,,-31.372072219848633
4,18d130007_5,2018-12-12 15:26:38.133000,Rig 2,C:\Users\charlotte.deleuze\Documents\Charlotte\pclamp PARAMS_charlotte\FISH_params\excitatory_opsins\Chrimson\CC_LED_step_NO_FILTER,Chrimson,LED_pulse,-60.01810836791992,630,5.0,25.56,sub_thresh_event,0.0,,1.0,,21.108192443847656,6.7,[-59.8541 -59.8663 -59.8938 ... -59.7839 -59.79   -59.7778],[-0.0101 -0.0101 -0.0089 ... -0.0095 -0.0101 -0.0098],,,,,,,,,,-38.909915924072266
